name,type,category,age,structure,morphology,size,reserve,lat,long,status1983,size_viz,res_viz
ASHTART,petrol,category 1,eocene,eastern platform,petrol and gaz deposit,> 10 000 000 000 T,45-55%,34.289359297380003,11.293103974479999,in-operation,"10000000000","50"
SADRBAL,gaz,category 2,eocene,eastern platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,34.130826337649999,11.562179321740000,under-research,"95250000",
SADRBAL,petrol,category 2,eocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,34.129036185970001,11.638180697610000,under-research,,
MISKAR,gaz,category 1,cretaceous,eastern platform,petrol and gaz deposit,> 100 000 000 M³,limited,34.369646016609998,11.792249283320000,under-research,"100000000",
SALAMBO,gaz,category 1,eocene,eastern platform,petrol and gaz deposit,> 100 000 000 M³,limited,33.933217770029998,11.682238614270000,under-research,"100000000",
TZIS,petrol,category 2,cretaceous,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,34.672287731010002,12.242853664180000,under-research,,
DIDOUN,petrol,category 2,eocene,eastern platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,limited,33.800893020810001,11.836242781610000,under-research,,
ILISA,gaz,category 2,eocene,eastern platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,33.712303609640003,11.770716234129999,under-research,"95250000",
ILISA,petrol,category 3,eocene,eastern platform,petrol and gaz deposit,< 500 000 000 T,limited,33.708845656900003,11.837089122869999,under-research,"500000000",
LBIBEN,gaz,category 2,cretaceous,eastern platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,33.442310121100000,11.231133199149999,under-research,"95250000",
WED ZAR,gaz,category 2,ordovician - triasic,Saharan platform,petrol and gaz deposit,5 000 000 - 100 000 000 M³,limited,31.499271972290000,10.079285649550000,under-research,"95250000",
SHEWWESH ES SIIDA,petrol,category 2,ordovician - triasic,Saharan platform,petrol and gaz deposit,500 000 000 - 10 000 000 000 T,45-55%,31.134127906949999,9.416364313470000,in-operation,,"50"
SHEWWESH ES SIIDA,gaz,category 3,ordovician - triasic,Saharan platform,petrol and gaz deposit,< 5 000 000 M³,limited,31.129465130330001,9.350710086419999,under-research,"5000000",
